,Score,Date
0,0.9853,2020-11-21 13:30:00
1,0.3004,2020-11-21 13:00:00
2,-0.8645,2020-11-21 12:00:00
3,0.9977,2020-11-21 12:00:00
4,0.9938,2020-11-21 11:30:00
5,0.9947,2020-11-21 08:00:00
6,0.9742,2020-11-21 07:30:00
7,0.9761,2020-11-21 07:00:00
8,0.9435,2020-11-20 21:00:00
9,0.9753,2020-11-20 20:30:00
10,0.9987,2020-11-20 20:30:00
11,-0.7236,2020-11-20 18:00:00
12,-0.9708,2020-11-20 18:00:00
13,-0.9013,2020-11-20 17:30:00
14,-0.9332,2020-11-20 17:30:00
15,-0.9179,2020-11-20 17:00:00
16,-0.4137,2020-11-20 16:30:00
17,0.8402,2020-11-20 16:00:00
18,0.9787,2020-11-20 16:00:00
19,0.9868,2020-11-20 15:00:00
20,0.9963,2020-11-20 14:30:00
21,0.9726,2020-11-20 13:30:00
22,0.9934,2020-11-20 13:00:00
23,0.99,2020-11-20 13:00:00
24,0.0,2020-11-20 12:00:00
25,0.8406,2020-11-20 12:00:00
26,0.0,2020-11-20 09:00:00
27,0.9972,2020-11-20 09:00:00
28,0.6791,2020-11-20 09:00:00
29,0.9949,2020-11-20 07:30:00
30,0.0,2020-11-19 20:00:00
31,0.7941,2020-11-19 18:00:00
32,-0.9163,2020-11-19 18:00:00
33,-0.7236,2020-11-19 17:30:00
34,-0.3939,2020-11-19 17:30:00
35,-0.8466,2020-11-19 17:00:00
36,0.8936,2020-11-19 17:00:00
37,0.9536,2020-11-19 17:00:00
38,0.7319,2020-11-19 16:30:00
39,0.988,2020-11-19 15:00:00
40,0.6679,2020-11-19 15:00:00
41,0.9845,2020-11-19 14:00:00
42,0.9767,2020-11-19 13:30:00
43,0.9904,2020-11-19 13:00:00
44,0.9478,2020-11-19 12:30:00
45,0.0,2020-11-19 11:30:00
46,0.9847,2020-11-19 11:30:00
47,0.9771,2020-11-19 10:00:00
48,-0.8156,2020-11-18 18:30:00
49,-0.9721,2020-11-18 18:00:00
50,0.9365,2020-11-18 18:00:00
51,-0.8992,2020-11-18 17:30:00
52,-0.9195,2020-11-18 17:30:00
53,0.7949,2020-11-18 17:30:00
54,-0.8767,2020-11-18 17:00:00
55,-0.3313,2020-11-18 17:00:00
56,-0.5803,2020-11-18 16:30:00
57,0.9615,2020-11-18 16:00:00
58,0.9664,2020-11-18 15:30:00
59,0.996,2020-11-18 14:30:00
60,0.9975,2020-11-18 13:30:00
61,0.8069,2020-11-18 13:30:00
62,0.9952,2020-11-18 13:00:00
63,-0.7254,2020-11-18 12:00:00
64,0.7579,2020-11-18 11:30:00
65,-0.1431,2020-11-18 09:30:00
66,0.9988,2020-11-18 09:00:00
67,-0.7976,2020-11-18 09:00:00
68,0.6872,2020-11-18 06:30:00
69,0.9977,2020-11-18 06:00:00
70,-0.4137,2020-11-17 18:30:00
71,-0.6936,2020-11-17 18:00:00
72,-0.9542,2020-11-17 18:00:00
73,-0.9179,2020-11-17 17:30:00
74,0.9965,2020-11-17 17:30:00
75,-0.924,2020-11-17 17:30:00
76,-0.9129,2020-11-17 17:00:00
77,-0.81,2020-11-17 17:00:00
78,0.997,2020-11-17 16:30:00
79,0.9923,2020-11-17 16:30:00
80,-0.8645,2020-11-17 16:30:00
81,0.987,2020-11-17 16:30:00
82,-0.9356,2020-11-17 15:00:00
83,0.9981,2020-11-17 12:30:00
84,0.983,2020-11-17 12:30:00
85,0.4019,2020-11-17 12:00:00
86,0.0,2020-11-17 11:30:00
87,-0.5204,2020-11-17 09:30:00
88,0.9958,2020-11-17 08:30:00
89,0.8779,2020-11-17 08:30:00
90,0.984,2020-11-17 08:00:00
91,0.9924,2020-11-17 07:30:00
92,0.9295,2020-11-17 07:30:00
93,0.7539,2020-11-17 06:30:00
94,0.0,2020-11-17 05:30:00
95,0.7622,2020-11-16 18:30:00
96,-0.897,2020-11-16 18:00:00
97,-0.7149,2020-11-16 17:30:00
98,-0.7236,2020-11-16 17:30:00
